date,symbol,score_fast,score_slow
2022-02-13,NEARUSDT-1d-full,-0.0786442076454864,-1.5634860042633347
2022-02-13,OPUSDT-1d-full,,
2022-02-13,RNDRUSDT-1d-full,,
2022-02-13,SEIUSDT-1d-full,,
2022-02-13,SOLUSDT-1d-full,,
2022-02-13,STXUSDT-1d-full,,
2022-02-13,SUIUSDT-1d-full,,
2022-02-13,TIAUSDT-1d-full,,
2022-02-13,UNIUSDT-1d-full,0.311256447601856,0.13542805685986495
2022-02-13,WLDUSDT-1d-full,,
2022-02-13,XRPUSDT-1d-full,-2.63615563666017,-0.9199214372214092
2022-02-14,AAVEUSDT-1d-full,0.21941666557605977,0.07070780778111432
2022-02-14,ADAUSDT-1d-full,-0.3263550528448157,-0.544008294916022
2022-02-14,APTUSDT-1d-full,,
2022-02-14,ARBUSDT-1d-full,,
2022-02-14,ATOMUSDT-1d-full,-0.34968254907950613,-1.0834096087803102
2022-02-14,AVAXUSDT-1d-full,-0.982522404946332,0.07929328515268863
2022-02-14,BNBUSDT-1d-full,,
2022-02-14,BTCUSDT-1d-full,,
2022-02-14,DOTUSDT-1d-full,0.9359054181698508,0.6395320010856731
2022-02-14,ETHUSDT-1d-full,,
2022-02-14,FETUSDT-1d-full,,
2022-02-14,INJUSDT-1d-full,,
2022-02-14,LINKUSDT-1d-full,0.5450319982369226,0.10864900122662902
2022-02-14,LTCUSDT-1d-full,0.6169325336359499,1.2300794000520154
2022-02-14,MKRUSDT-1d-full,1.2729800429247604,1.8355014697403635
2022-02-14,NEARUSDT-1d-full,0.04821652244154864,-1.5323127826125447
2022-02-14,OPUSDT-1d-full,,
2022-02-14,RNDRUSDT-1d-full,,
2022-02-14,SEIUSDT-1d-full,,
2022-02-14,SOLUSDT-1d-full,,
2022-02-14,STXUSDT-1d-full,,
2022-02-14,SUIUSDT-1d-full,,
2022-02-14,TIAUSDT-1d-full,,
2022-02-14,UNIUSDT-1d-full,0.35563958949153984,0.11990741701324925
2022-02-14,WLDUSDT-1d-full,,
2022-02-14,XRPUSDT-1d-full,-2.3355627636059784,-0.923939695742856
2022-02-15,AAVEUSDT-1d-full,0.4038004075063508,-0.1316807864015506
2022-02-15,ADAUSDT-1d-full,-0.09988538755250044,-0.4305971372405908
2022-02-15,APTUSDT-1d-full,,
2022-02-15,ARBUSDT-1d-full,,
2022-02-15,ATOMUSDT-1d-full,-0.2577227338180963,-0.9429665187440068
2022-02-15,AVAXUSDT-1d-full,-1.631833561709923,0.08246540161111733
2022-02-15,BNBUSDT-1d-full,,
2022-02-15,BTCUSDT-1d-full,,
2022-02-15,DOTUSDT-1d-full,0.8913329661258087,0.5654771118972319
2022-02-15,ETHUSDT-1d-full,,
2022-02-15,FETUSDT-1d-full,,
2022-02-15,INJUSDT-1d-full,,
2022-02-15,LINKUSDT-1d-full,0.4145723614696996,0.19126051914527376
2022-02-15,LTCUSDT-1d-full,0.6960054008283509,1.3216486788549646
